source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,particle_count_align_flatten_p95,particle_count,0,3,0,0,0.0,0.0,1.5176776615865394e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,5,15
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,particle_count_align_flatten_p95,particle_count,0,14,0,0,0.0,0.0,1.5595844080844534e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,5,16
PEGDA01TPO10SiNPSam02_S2_P__GrID033_LOC_RC006021-5.00x5.00-Z Height_Forward-251001-CRO_af7ca311.tiff,particle_count_align_flatten_p95,particle_count,2,11,2,2,489.92248270384636,49.01165047501746,9.725089050786476e-08,percentile(95.0),0,350.0,550.0,900.0,512,512,5,20
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,particle_count_align_flatten_p95,particle_count,1,5,1,1,354.1646927034727,0.0,2.0724376580550075e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,7,3
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,particle_count_align_flatten_p95,particle_count,0,2,0,0,0.0,0.0,1.9912303986559918e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,7,7
PEGDA01TPO10SiNPSam02_S2_P__GrID036_LOC_RC008014-5.00x5.00-Z Height_Forward-251001-CRO_44eec63b.tiff,particle_count_align_flatten_p95,particle_count,0,22,0,0,0.0,0.0,5.192323248708274e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,7,13
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,particle_count_align_flatten_p95,particle_count,0,5,0,0,0.0,0.0,1.0704218066385756e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,9,0
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,particle_count_align_flatten_p95,particle_count,0,1,0,0,0.0,0.0,1.7335432388609417e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,9,1
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,particle_count_align_flatten_p95,particle_count,1,7,1,1,429.04683570785306,0.0,6.27044549288937e-08,percentile(95.0),0,350.0,550.0,900.0,512,512,9,5
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,particle_count_align_flatten_p95,particle_count,0,4,0,0,0.0,0.0,3.184734043298214e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,9,9
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,particle_count_align_flatten_p95,particle_count,0,1,0,0,0.0,0.0,7.256415209803506e-08,percentile(95.0),0,350.0,550.0,900.0,512,512,9,10
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,particle_count_align_flatten_p95,particle_count,0,3,0,0,0.0,0.0,3.17005036020872e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,9,11
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,particle_count_align_flatten_p95,particle_count,0,4,0,0,0.0,0.0,3.3032984571106017e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,9,15
