source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,particle_count_align_flatten_mean,particle_count,1,6,1,1,415.8245223509692,0.0,5.224084881781218e-08,mean,0,350.0,550.0,900.0,512,512,9,9
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,particle_count_align_flatten_mean,particle_count,1,65,1,1,387.2474632288362,0.0,8.176409699483662e-09,mean,0,350.0,550.0,900.0,512,512,9,10
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,particle_count_align_flatten_mean,particle_count,0,3,0,0,0.0,0.0,7.561452176020158e-08,mean,0,350.0,550.0,900.0,512,512,9,11
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,particle_count_align_flatten_mean,particle_count,0,7,0,0,0.0,0.0,7.308382778062775e-08,mean,0,350.0,550.0,900.0,512,512,9,15
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,particle_count_align_flatten_mean,particle_count,0,10,0,0,0.0,0.0,2.6468686768581175e-07,mean,0,350.0,550.0,900.0,512,512,9,19
PEGDA01TPO10SiNPSam02_S2_P__GrID045_LOC_RC010021-5.00x5.00-Z Height_Forward-251001-CRO_2814d736.tiff,particle_count_align_flatten_mean,particle_count,1,5,1,1,380.9246308226629,0.0,1.0314770335903088e-07,mean,0,350.0,550.0,900.0,512,512,9,20
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,particle_count_align_flatten_mean,particle_count,3,41,3,3,373.1527026859308,12.39485131285374,1.4160969054141962e-08,mean,0,350.0,550.0,900.0,512,512,10,0
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,particle_count_align_flatten_mean,particle_count,3,87,3,1,441.1424975700045,57.24094331360169,1.880685405863004e-08,mean,0,350.0,550.0,900.0,512,512,10,1
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,particle_count_align_flatten_mean,particle_count,0,6,0,0,0.0,0.0,3.290456803091824e-08,mean,0,350.0,550.0,900.0,512,512,10,5
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,particle_count_align_flatten_mean,particle_count,0,9,0,0,0.0,0.0,1.4022972821740678e-07,mean,2,350.0,550.0,900.0,512,512,10,9
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,particle_count_align_flatten_mean,particle_count,0,7,0,0,0.0,0.0,7.131764739187971e-08,mean,1,350.0,550.0,900.0,512,512,10,10
