source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID031_LOC_RC006012-5.00x5.00-Modulus_Backward-251029-CRO_c4ebe72d.tiff,Modulus,Backward,31,251029,modulus_raw_three_sigma,modulus,45105989.64723351,17326189.774444256,kPa,249217,5,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID032_LOC_RC006016-5.00x5.00-Modulus_Backward-251029-CRO_fa75bd50.tiff,Modulus,Backward,32,251029,modulus_raw_three_sigma,modulus,45376407.24326102,15887859.30174199,kPa,253493,5,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID033_LOC_RC006017-5.00x5.00-Modulus_Backward-251029-CRO_8928b090.tiff,Modulus,Backward,33,251029,modulus_raw_three_sigma,modulus,39476532.689152084,12640726.622987872,kPa,255027,5,16
PEGDA01TPO000SiNP_Sam01_S1_P__GrID034_LOC_RC006021-5.00x5.00-Modulus_Backward-251029-CRO_5d1db617.tiff,Modulus,Backward,34,251029,modulus_raw_three_sigma,modulus,44009321.856733635,13102091.205079192,kPa,254232,5,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID035_LOC_RC007003-5.00x5.00-Modulus_Backward-251029-CRO_898e3fc2.tiff,Modulus,Backward,35,251029,modulus_raw_three_sigma,modulus,722811158.0420609,95605428.71809919,kPa,253303,6,2
PEGDA01TPO000SiNP_Sam01_S1_P__GrID036_LOC_RC007021-5.00x5.00-Modulus_Backward-251029-CRO_6f7fed9d.tiff,Modulus,Backward,36,251029,modulus_raw_three_sigma,modulus,530722057.7984967,266456175.5111728,kPa,361,6,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID037_LOC_RC008008-5.00x5.00-Modulus_Backward-251030-CRO_93fac9b5.tiff,Modulus,Backward,37,251030,modulus_raw_three_sigma,modulus,370717333.630801,100709064.59687555,kPa,239929,7,7
PEGDA01TPO000SiNP_Sam01_S1_P__GrID038_LOC_RC008014-5.00x5.00-Modulus_Backward-251030-CRO_9c5f55c3.tiff,Modulus,Backward,38,251030,modulus_raw_three_sigma,modulus,199523399.54209745,43848504.64747707,kPa,240701,7,13
PEGDA01TPO000SiNP_Sam01_S1_P__GrID039_LOC_RC008019-5.00x5.00-Modulus_Backward-251030-CRO_797a422a.tiff,Modulus,Backward,39,251030,modulus_raw_three_sigma,modulus,nan,nan,kPa,0,7,18
PEGDA01TPO000SiNP_Sam01_S1_P__GrID040_LOC_RC010001-5.00x5.00-Modulus_Backward-251030-CRO_0aca7b9f.tiff,Modulus,Backward,40,251030,modulus_raw_three_sigma,modulus,453728113.79328686,81536709.68122204,kPa,252221,9,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID041_LOC_RC010002-5.00x5.00-Modulus_Backward-251030-CRO_9564d462.tiff,Modulus,Backward,41,251030,modulus_raw_three_sigma,modulus,46568947.054664716,19469862.893695436,kPa,252427,9,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID042_LOC_RC010006-5.00x5.00-Modulus_Backward-251030-CRO_1f2056b1.tiff,Modulus,Backward,42,251030,modulus_raw_three_sigma,modulus,47093470.59882953,8986539.996062784,kPa,256821,9,5
