source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,nx,ny,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID047_LOC_RC010020-5.00x5.00-Modulus_Forward-251030-CRO_74eb812b.tiff,Modulus,Forward,47,251030,modulus_gwy_ops_py_stats,modulus,36134759.65909248,20618848.95807522,kPa,251014,512,512,9,19
PEGDA01TPO000SiNP_Sam01_S1_P__GrID048_LOC_RC010021-5.00x5.00-Modulus_Forward-251030-CRO_cfcf1391.tiff,Modulus,Forward,48,251030,modulus_gwy_ops_py_stats,modulus,54472659.435168885,25376702.91340453,kPa,254032,512,512,9,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID049_LOC_RC011001-5.00x5.00-Modulus_Forward-251030-CRO_7c22cd95.tiff,Modulus,Forward,49,251030,modulus_gwy_ops_py_stats,modulus,748443218.5971661,81899842.48681435,kPa,256814,512,512,10,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID050_LOC_RC011002-5.00x5.00-Modulus_Forward-251031-CRO_9b78bc2e.tiff,Modulus,Forward,50,251031,modulus_gwy_ops_py_stats,modulus,227711593.85569593,61637249.34657254,kPa,250597,512,512,10,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID051_LOC_RC011006-5.00x5.00-Modulus_Forward-251031-CRO_319b6a7f.tiff,Modulus,Forward,51,251031,modulus_gwy_ops_py_stats,modulus,33928645.97198473,10736062.850524327,kPa,261495,512,512,10,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID052_LOC_RC011010-5.00x5.00-Modulus_Forward-251031-CRO_3d8af3fe.tiff,Modulus,Forward,52,251031,modulus_gwy_ops_py_stats,modulus,481611231.67598826,289734764.92847717,kPa,259,512,512,10,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID053_LOC_RC011011-5.00x5.00-Modulus_Forward-251031-CRO_3645080c.tiff,Modulus,Forward,53,251031,modulus_gwy_ops_py_stats,modulus,432506801.6195948,68233944.37940215,kPa,254026,512,512,10,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID054_LOC_RC011012-5.00x5.00-Modulus_Forward-251031-CRO_87dfe8c2.tiff,Modulus,Forward,54,251031,modulus_gwy_ops_py_stats,modulus,737009972.0150683,219993684.84290624,kPa,1865,512,512,10,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID055_LOC_RC011016-5.00x5.00-Modulus_Forward-251031-CRO_d3151adf.tiff,Modulus,Forward,55,251031,modulus_gwy_ops_py_stats,modulus,33531354.57894333,9246819.486045264,kPa,262144,512,512,10,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID056_LOC_RC011020-5.00x5.00-Modulus_Forward-251031-CRO_d56434e2.tiff,Modulus,Forward,56,251031,modulus_gwy_ops_py_stats,modulus,60190299.702274494,32631072.01689885,kPa,253836,512,512,10,19
PEGDA01TPO000SiNP_Sam01_S1_P__GrID057_LOC_RC011021-5.00x5.00-Modulus_Forward-251031-CRO_c866112a.tiff,Modulus,Forward,57,251031,modulus_gwy_ops_py_stats,modulus,36399383.49372576,15143983.391094917,kPa,259381,512,512,10,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID058_LOC_RC012001-5.00x5.00-Modulus_Forward-251031-CRO_3c2f3394.tiff,Modulus,Forward,58,251031,modulus_gwy_ops_py_stats,modulus,77764863.17555091,33520696.997023843,kPa,249656,512,512,11,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID059_LOC_RC012002-5.00x5.00-Modulus_Forward-251031-CRO_53880952.tiff,Modulus,Forward,59,251031,modulus_gwy_ops_py_stats,modulus,44397755.97772786,13501322.452858867,kPa,260049,512,512,11,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID060_LOC_RC012006-5.00x5.00-Modulus_Forward-251031-CRO_7f038af9.tiff,Modulus,Forward,60,251031,modulus_gwy_ops_py_stats,modulus,625086562.6835188,105640878.5008007,kPa,254261,512,512,11,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID061_LOC_RC012010-5.00x5.00-Modulus_Forward-251031-CRO_8e1e60d9.tiff,Modulus,Forward,61,251031,modulus_gwy_ops_py_stats,modulus,480122868.92092866,305399337.9245665,kPa,1000,512,512,11,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID062_LOC_RC012011-5.00x5.00-Modulus_Forward-251031-CRO_47f99270.tiff,Modulus,Forward,62,251031,modulus_gwy_ops_py_stats,modulus,144494460.62512067,45608475.80868243,kPa,253852,512,512,11,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID063_LOC_RC012012-5.00x5.00-Modulus_Forward-251101-CRO_75dae1cb.tiff,Modulus,Forward,63,251101,modulus_gwy_ops_py_stats,modulus,56096006.83063572,33909912.42407839,kPa,246743,512,512,11,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID064_LOC_RC012016-5.00x5.00-Modulus_Forward-251101-CRO_5f943d31.tiff,Modulus,Forward,64,251101,modulus_gwy_ops_py_stats,modulus,636268658.3022925,106908993.64052925,kPa,253367,512,512,11,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID065_LOC_RC012020-5.00x5.00-Modulus_Forward-251101-CRO_c7d7ea15.tiff,Modulus,Forward,65,251101,modulus_gwy_ops_py_stats,modulus,802152875.5183407,88945994.72448426,kPa,255318,512,512,11,19
PEGDA01TPO000SiNP_Sam01_S1_P__GrID066_LOC_RC012021-5.00x5.00-Modulus_Forward-251101-CRO_5330f73f.tiff,Modulus,Forward,66,251101,modulus_gwy_ops_py_stats,modulus,87683064.70757483,43029147.798899345,kPa,248716,512,512,11,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID067_LOC_RC014003-5.00x5.00-Modulus_Forward-251101-CRO_272d5a09.tiff,Modulus,Forward,67,251101,modulus_gwy_ops_py_stats,modulus,545913418.3905231,89026076.85338254,kPa,249714,512,512,13,2
PEGDA01TPO000SiNP_Sam01_S1_P__GrID068_LOC_RC014008-5.00x5.00-Modulus_Forward-251101-CRO_e2b4b8b1.tiff,Modulus,Forward,68,251101,modulus_gwy_ops_py_stats,modulus,376489518.09098023,47091218.26653416,kPa,260095,512,512,13,7
PEGDA01TPO000SiNP_Sam01_S1_P__GrID069_LOC_RC014014-5.00x5.00-Modulus_Forward-251101-CRO_2cb2d76d.tiff,Modulus,Forward,69,251101,modulus_gwy_ops_py_stats,modulus,37143230.529015906,14355616.24814949,kPa,260797,512,512,13,13
PEGDA01TPO000SiNP_Sam01_S1_P__GrID070_LOC_RC014019-5.00x5.00-Modulus_Forward-251101-CRO_5ac91a93.tiff,Modulus,Forward,70,251101,modulus_gwy_ops_py_stats,modulus,219234935.80453128,50831430.69406395,kPa,258870,512,512,13,18
PEGDA01TPO000SiNP_Sam01_S1_P__GrID071_LOC_RC016001-5.00x5.00-Modulus_Forward-251101-CRO_d90f8aaf.tiff,Modulus,Forward,71,251101,modulus_gwy_ops_py_stats,modulus,58884533.88347364,37455531.408249415,kPa,248742,512,512,15,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID072_LOC_RC016005-5.00x5.00-Modulus_Forward-251101-CRO_b763ed6b.tiff,Modulus,Forward,72,251101,modulus_gwy_ops_py_stats,modulus,47579195.10066571,29144808.88623345,kPa,255557,512,512,15,4
