source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID041_LOC_RC010011-5.00x5.00-Z Height_Forward-251001-CRO_35f15beb.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,122,1,1,361.62875343162466,0.0,6.07795486225835e-09,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,9,10
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,0,35,0,0,0.0,0.0,1.775411873816989e-08,"max(mean,fixed,p95.0)",2,350.0,550.0,900.0,512,512,9,11
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,3,59,3,3,389.35080683004315,27.46968343055961,2.0008746411878515e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,9,15
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,0,146,0,0,0.0,0.0,3.1824166752177295e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,9,19
PEGDA01TPO10SiNPSam02_S2_P__GrID045_LOC_RC010021-5.00x5.00-Z Height_Forward-251001-CRO_2814d736.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,110,1,1,442.5601303773924,0.0,1.631002994957578e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,9,20
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,4,33,4,0,453.6120167349311,70.2843159565788,1.13668351230171e-08,"max(mean,fixed,p95.0)",1,350.0,550.0,900.0,512,512,10,0
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,65,2,2,398.7121519906284,30.75899254257004,1.668318576051192e-08,"max(mean,fixed,p95.0)",1,350.0,550.0,900.0,512,512,10,1
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,55,2,2,477.40723451728434,23.336046546222207,1.1135331197042981e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,10,5
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,5,49,5,3,420.374575685695,61.021601016797725,4.0610678977910154e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,10,9
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,74,1,1,382.8324455820301,0.0,1.7581231489124653e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,10,10
PEGDA01TPO10SiNPSam02_S2_P__GrID051_LOC_RC011012-5.00x5.00-Z Height_Forward-251001-CRO_5b8ec6e3.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,69,1,1,374.9811031416506,0.0,2.4768674895049078e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,10,11
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,0,98,0,0,0.0,0.0,3.7989697115926985e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,10,15
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,0,120,0,0,0.0,0.0,3.8646797066639424e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,10,19
PEGDA01TPO10SiNPSam02_S2_P__GrID054_LOC_RC011021-5.00x5.00-Z Height_Forward-251001-CRO_0c8e549d.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,0,82,0,0,0.0,0.0,3.385466707588354e-08,"max(mean,fixed,p95.0)",1,350.0,550.0,900.0,512,512,10,20
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,5,78,5,3,408.66792937217144,31.925669362407774,1.4755750941878293e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,11,0
PEGDA01TPO10SiNPSam02_S2_P__GrID056_LOC_RC012002-5.00x5.00-Z Height_Forward-251001-CRO_3b640111.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,3,62,3,1,458.93887570448754,54.057724863296684,1.3458998416523743e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,11,1
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,69,1,1,426.91896590834585,0.0,1.2420194495691619e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,11,5
PEGDA01TPO10SiNPSam02_S2_P__GrID058_LOC_RC012010-5.00x5.00-Z Height_Forward-251001-CRO_6957759f.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,4,61,4,0,420.68130484959,72.08310490929341,2.3191846307871036e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,11,9
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,60,2,2,377.48382360705125,7.720103123957188,2.133483135096836e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,11,10
PEGDA01TPO10SiNPSam02_S2_P__GrID060_LOC_RC012012-5.00x5.00-Z Height_Forward-251001-CRO_ba40e05b.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,60,2,2,367.170577251737,5.373975700871824,2.4165114579719965e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,11,11
PEGDA01TPO10SiNPSam02_S2_P__GrID061_LOC_RC012016-5.00x5.00-Z Height_Forward-251001-CRO_ab1842c6.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,0,9,0,0,0.0,0.0,2.207375892570649e-09,"max(mean,fixed,p95.0)",2,350.0,550.0,900.0,512,512,11,15
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,150,1,1,351.23837291586733,0.0,2.3777702565259755e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,11,19
