source_file,row_idx,col_idx,baseline_method,avg__baseline,std__baseline,n_valid__baseline,units__baseline,avg__backward_methods,std__backward_methods,n_valid__backward_methods,units__backward_methods,delta_avg__backward_methods,ratio_avg__backward_methods,delta_std__backward_methods,ratio_std__backward_methods,delta_n_valid__backward_methods,ratio_n_valid__backward_methods
PEGDA01TPO000SiNP_Sam01_S1_P__GrID059_LOC_RC012002-5.00x5.00-Modulus_Backward-251031-CRO_2e458130.tiff,11,1,gwyddion_only,37172389.283679,15640004.973021716,259661,kPa,37163774.0553832,15322862.96819254,259661,kPa,-8615.22829580307,0.9997682358206771,-317142.00482917577,0.9797223846554889,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID060_LOC_RC012006-5.00x5.00-Modulus_Backward-251031-CRO_10276a16.tiff,11,5,gwyddion_only,294747471.6144467,115827737.89313507,247805,kPa,290811106.8938819,88718064.27762432,247805,kPa,-3936364.7205647826,0.9866449584825825,-27109673.615510747,0.7659483461507065,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID061_LOC_RC012010-5.00x5.00-Modulus_Backward-251031-CRO_300a166c.tiff,11,9,gwyddion_only,841726449.7363061,132719808.07632317,254370,kPa,833258849.3266572,117103224.12221862,254370,kPa,-8467600.409648895,0.9899401992033141,-15616583.954104543,0.8823341882386997,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID062_LOC_RC012011-5.00x5.00-Modulus_Backward-251031-CRO_70589138.tiff,11,10,gwyddion_only,151864516.62922937,299475513.72799194,253692,kPa,143208769.97496876,46377726.19158133,253692,kPa,-8655746.654260606,0.9430034951785793,-253097787.5364106,0.1548631659872712,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID063_LOC_RC012012-5.00x5.00-Modulus_Backward-251101-CRO_3ea84ce5.tiff,11,11,gwyddion_only,54490189.59952243,37704372.411695056,246604,kPa,54235234.309747346,32446241.481541365,246604,kPa,-254955.28977508098,0.9953210790483776,-5258130.93015369,0.8605432051025802,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID064_LOC_RC012016-5.00x5.00-Modulus_Backward-251101-CRO_f392dff8.tiff,11,15,gwyddion_only,276094989.9848089,160523990.29444107,242673,kPa,267486342.37241703,84874173.54470636,242673,kPa,-8608647.61239189,0.9688199789034001,-75649816.74973471,0.528732019363747,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID065_LOC_RC012020-5.00x5.00-Modulus_Backward-251101-CRO_0a7fad5a.tiff,11,19,gwyddion_only,194120361.04045177,66319567.506381415,246289,kPa,193483105.657585,56938760.38607073,246289,kPa,-637255.38286677,0.996717215136778,-9380807.120310687,0.8585514430653058,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID066_LOC_RC012021-5.00x5.00-Modulus_Backward-251101-CRO_db24f799.tiff,11,20,gwyddion_only,,,0,kPa,,,0,kPa,,,,,0,
PEGDA01TPO000SiNP_Sam01_S1_P__GrID067_LOC_RC014003-5.00x5.00-Modulus_Backward-251101-CRO_7075b21b.tiff,13,2,gwyddion_only,732169072.9078882,146389489.769154,252218,kPa,723495051.0309051,105368808.31870915,252218,kPa,-8674021.876983047,0.988152979690151,-41020681.45044486,0.7197839714098901,0,1.0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID068_LOC_RC014008-5.00x5.00-Modulus_Backward-251101-CRO_c3cea234.tiff,13,7,gwyddion_only,129141927.59079343,44334321.555889994,255716,kPa,128834638.44523032,36804026.604670584,255716,kPa,-307289.1455631107,0.9976205315245348,-7530294.95121941,0.8301475090415819,0,1.0
