source_file,method,avg_value,std_value,n_valid,units,avg_baseline,std_baseline,n_valid_baseline,delta_avg,delta_std,delta_n_valid
PEGDA01TPO000SiNP_Sam01_S1_P__GrID009_LOC_RC001017-5.00x5.00-Modulus_Forward-251027-CRO_4abe3562.tiff,raw_three_sigma,52606324.58402642,19750576.277782064,257219,kPa,54610108.92998969,50015134.63422422,257690,-2003784.3459632695,-30264558.356442157,-471
PEGDA01TPO000SiNP_Sam01_S1_P__GrID010_LOC_RC001020-5.00x5.00-Modulus_Forward-251027-CRO_7cf2b3a6.tiff,gwy_ops_py_stats,76507262.85086495,36278638.781127565,252876,kPa,76943183.82049735,45357840.33616085,252876,-435920.96963240206,-9079201.555033289,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID010_LOC_RC001020-5.00x5.00-Modulus_Forward-251027-CRO_7cf2b3a6.tiff,raw_chauvenet,75988299.04330993,31844538.80017604,252640,kPa,76943183.82049735,45357840.33616085,252876,-954884.7771874219,-13513301.535984814,-236
PEGDA01TPO000SiNP_Sam01_S1_P__GrID010_LOC_RC001020-5.00x5.00-Modulus_Forward-251027-CRO_7cf2b3a6.tiff,raw_minmax,76507262.85086495,36278638.781127565,252876,kPa,76943183.82049735,45357840.33616085,252876,-435920.96963240206,-9079201.555033289,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID010_LOC_RC001020-5.00x5.00-Modulus_Forward-251027-CRO_7cf2b3a6.tiff,raw_three_sigma,75126926.54363431,26983350.114301596,251979,kPa,76943183.82049735,45357840.33616085,252876,-1816257.2768630385,-18374490.221859258,-897
PEGDA01TPO000SiNP_Sam01_S1_P__GrID011_LOC_RC001021-5.00x5.00-Modulus_Forward-251027-CRO_ceef7a05.tiff,gwy_ops_py_stats,453918316.6640968,67850040.63959137,245819,kPa,478467999.21431386,319122553.2706219,245819,-24549682.550217092,-251272512.63103053,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID011_LOC_RC001021-5.00x5.00-Modulus_Forward-251027-CRO_ceef7a05.tiff,raw_chauvenet,453918316.6640968,67850040.63959137,245819,kPa,478467999.21431386,319122553.2706219,245819,-24549682.550217092,-251272512.63103053,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID011_LOC_RC001021-5.00x5.00-Modulus_Forward-251027-CRO_ceef7a05.tiff,raw_minmax,453918316.6640968,67850040.63959137,245819,kPa,478467999.21431386,319122553.2706219,245819,-24549682.550217092,-251272512.63103053,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID011_LOC_RC001021-5.00x5.00-Modulus_Forward-251027-CRO_ceef7a05.tiff,raw_three_sigma,453918316.6640968,67850040.63959137,245819,kPa,478467999.21431386,319122553.2706219,245819,-24549682.550217092,-251272512.63103053,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID012_LOC_RC002001-5.00x5.00-Modulus_Forward-251028-CRO_87e12f62.tiff,gwy_ops_py_stats,37788469.79875993,8594292.652850194,262139,kPa,37788469.79875943,8594292.652850257,262139,4.991888999938965e-07,-6.332993507385254e-08,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID012_LOC_RC002001-5.00x5.00-Modulus_Forward-251028-CRO_87e12f62.tiff,raw_chauvenet,37464279.22843672,6494130.058210823,260969,kPa,37788469.79875943,8594292.652850257,262139,-324190.5703227073,-2100162.5946394345,-1170
PEGDA01TPO000SiNP_Sam01_S1_P__GrID012_LOC_RC002001-5.00x5.00-Modulus_Forward-251028-CRO_87e12f62.tiff,raw_minmax,37788469.79875993,8594292.652850194,262139,kPa,37788469.79875943,8594292.652850257,262139,4.991888999938965e-07,-6.332993507385254e-08,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID012_LOC_RC002001-5.00x5.00-Modulus_Forward-251028-CRO_87e12f62.tiff,raw_three_sigma,37301913.75980776,5970189.06424329,259261,kPa,37788469.79875943,8594292.652850257,262139,-486556.0389516726,-2624103.5886069676,-2878
PEGDA01TPO000SiNP_Sam01_S1_P__GrID013_LOC_RC002002-5.00x5.00-Modulus_Forward-251028-CRO_a79b35c8.tiff,gwy_ops_py_stats,133622861.99389751,40666780.59680187,252190,kPa,134051135.28125194,47027043.11617046,252190,-428273.2873544246,-6360262.519368589,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID013_LOC_RC002002-5.00x5.00-Modulus_Forward-251028-CRO_a79b35c8.tiff,raw_chauvenet,133090027.16389371,35558751.77824345,252005,kPa,134051135.28125194,47027043.11617046,252190,-961108.1173582226,-11468291.337927006,-185
PEGDA01TPO000SiNP_Sam01_S1_P__GrID013_LOC_RC002002-5.00x5.00-Modulus_Forward-251028-CRO_a79b35c8.tiff,raw_minmax,133622861.99389751,40666780.59680187,252190,kPa,134051135.28125194,47027043.11617046,252190,-428273.2873544246,-6360262.519368589,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID013_LOC_RC002002-5.00x5.00-Modulus_Forward-251028-CRO_a79b35c8.tiff,raw_three_sigma,132507015.33354323,31346770.41112509,251697,kPa,134051135.28125194,47027043.11617046,252190,-1544119.947708711,-15680272.705045369,-493
PEGDA01TPO000SiNP_Sam01_S1_P__GrID014_LOC_RC002010-5.00x5.00-Modulus_Forward-251028-CRO_2fbca0a7.tiff,gwy_ops_py_stats,595691153.5909961,275702073.4638554,5319,kPa,2470324580.4976506,1861460455.1890044,5319,-1874633426.9066544,-1585758381.7251492,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID014_LOC_RC002010-5.00x5.00-Modulus_Forward-251028-CRO_2fbca0a7.tiff,raw_chauvenet,595691153.5909961,275702073.4638554,5319,kPa,2470324580.4976506,1861460455.1890044,5319,-1874633426.9066544,-1585758381.7251492,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID014_LOC_RC002010-5.00x5.00-Modulus_Forward-251028-CRO_2fbca0a7.tiff,raw_minmax,595691153.5909961,275702073.4638554,5319,kPa,2470324580.4976506,1861460455.1890044,5319,-1874633426.9066544,-1585758381.7251492,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID014_LOC_RC002010-5.00x5.00-Modulus_Forward-251028-CRO_2fbca0a7.tiff,raw_three_sigma,595691153.5909961,275702073.4638554,5319,kPa,2470324580.4976506,1861460455.1890044,5319,-1874633426.9066544,-1585758381.7251492,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID015_LOC_RC002011-5.00x5.00-Modulus_Forward-251028-CRO_6d836729.tiff,gwy_ops_py_stats,37238985.252362505,13475607.535249965,260941,kPa,37238985.25236385,13475607.535250243,260941,-1.3485550880432129e-06,-2.775341272354126e-07,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID015_LOC_RC002011-5.00x5.00-Modulus_Forward-251028-CRO_6d836729.tiff,raw_chauvenet,36668341.58993224,8810294.865765557,259778,kPa,37238985.25236385,13475607.535250243,260941,-570643.6624316126,-4665312.669484686,-1163
PEGDA01TPO000SiNP_Sam01_S1_P__GrID015_LOC_RC002011-5.00x5.00-Modulus_Forward-251028-CRO_6d836729.tiff,raw_minmax,37238985.252362505,13475607.535249965,260941,kPa,37238985.25236385,13475607.535250243,260941,-1.3485550880432129e-06,-2.775341272354126e-07,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID015_LOC_RC002011-5.00x5.00-Modulus_Forward-251028-CRO_6d836729.tiff,raw_three_sigma,36355739.09423528,7859212.507599972,258198,kPa,37238985.25236385,13475607.535250243,260941,-883246.1581285745,-5616395.027650271,-2743
PEGDA01TPO000SiNP_Sam01_S1_P__GrID016_LOC_RC002012-5.00x5.00-Modulus_Forward-251028-CRO_8b05cb45.tiff,gwy_ops_py_stats,63485290.625990205,26016086.67261596,255885,kPa,63574567.525007136,28044067.91820621,255885,-89276.89901693165,-2027981.245590251,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID016_LOC_RC002012-5.00x5.00-Modulus_Forward-251028-CRO_8b05cb45.tiff,raw_chauvenet,62648633.27649135,19046717.64276014,255227,kPa,63574567.525007136,28044067.91820621,255885,-925934.2485157847,-8997350.275446072,-658
PEGDA01TPO000SiNP_Sam01_S1_P__GrID016_LOC_RC002012-5.00x5.00-Modulus_Forward-251028-CRO_8b05cb45.tiff,raw_minmax,63485290.625990205,26016086.67261596,255885,kPa,63574567.525007136,28044067.91820621,255885,-89276.89901693165,-2027981.245590251,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID016_LOC_RC002012-5.00x5.00-Modulus_Forward-251028-CRO_8b05cb45.tiff,raw_three_sigma,62076784.08358706,16406244.878171066,254331,kPa,63574567.525007136,28044067.91820621,255885,-1497783.4414200783,-11637823.040035145,-1554
PEGDA01TPO000SiNP_Sam01_S1_P__GrID017_LOC_RC002020-5.00x5.00-Modulus_Forward-251028-CRO_7d77b12c.tiff,gwy_ops_py_stats,40506410.97145682,18007010.603758752,259699,kPa,40515136.33464782,18279377.20674194,259699,-8725.363191001117,-272366.6029831879,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID017_LOC_RC002020-5.00x5.00-Modulus_Forward-251028-CRO_7d77b12c.tiff,raw_chauvenet,39598269.26434141,12766318.440697057,258023,kPa,40515136.33464782,18279377.20674194,259699,-916867.0703064129,-5513058.766044883,-1676
